time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
1.96,858,2.85012,2.01056,1.75552,-3.05721,1000.17,2058.13,1.08426,13.4737,1.80625,3.6637
1.97,858,2.86777,1.98018,1.77421,-3.01787,1000.17,2047.74,0.992958,13.4513,1.70689,3.64131
1.98,858,2.8856,1.95019,1.79199,-2.97906,1000.17,2052.28,0.91633,13.4423,1.62742,3.63235
1.99,858,2.9036,1.92058,1.80898,-2.94064,1000.17,2058.75,0.84244,13.4384,1.55135,3.62836
2,858,2.92177,1.89136,1.82518,-2.90211,1000.17,2050.42,0.767559,13.4395,1.46921,3.62949
2.01,858,2.94009,1.86253,1.84067,-2.86304,1000.17,2024.25,0.712163,13.4554,1.40054,3.64543
2.02,858,2.95857,1.83409,1.8555,-2.82297,1000.17,1993.25,0.661527,13.4871,1.33513,3.67714
2.03,858,2.97719,1.80606,1.86949,-2.78187,1000.17,1946.84,0.609601,13.5002,1.26341,3.69018
2.04,858,2.99595,1.77844,1.88279,-2.7399,1000.16,1899.86,0.582478,13.5335,1.21652,3.72351
2.05,858,3.01484,1.75124,1.89543,-2.69705,1000.16,1867.23,0.552957,13.5973,1.1722,3.78727
2.06,858,3.03386,1.72448,1.90757,-2.65351,1000.16,1841.72,0.529086,13.6565,1.13605,3.84652
2.07,858,3.05299,1.69815,1.91942,-2.61006,1000.15,1810.57,0.511981,13.6777,1.10494,3.86765
2.08,858,3.07224,1.67226,1.93092,-2.56734,1000.15,1786.44,0.486749,13.6911,1.06814,3.8811
2.09,858,3.09161,1.64679,1.94262,-2.52571,1000.15,1734.94,0.48743,13.6351,1.04853,3.82512
2.1,858,3.11109,1.62173,1.95448,-2.48525,1000.14,1623.62,0.497144,13.4659,1.01895,3.65593
2.11,858,3.1307,1.59706,1.96634,-2.44643,1000.12,1458.12,0.528469,13.2101,0.994162,3.40014
2.12,858,3.15042,1.57278,1.97819,-2.40912,1000.11,1249.49,0.571804,12.8738,0.968371,3.06377
2.13,858,3.17026,1.54885,1.98981,-2.3734,1000.09,1007.74,0.613136,12.4743,0.930981,2.66434
2.14,858,3.19021,1.52528,2.00115,-2.33907,1000.06,753.184,0.653991,12.0445,0.890068,2.23449
2.15,858,3.21028,1.50203,2.01214,-2.30577,1000.04,502.287,0.692488,11.6017,0.848943,1.79165
2.16,858,3.23045,1.47911,2.02272,-2.27374,1000.02,250.502,0.694504,11.119,0.772046,1.30905
2.17,858,3.25073,1.4565,2.03272,-2.24295,1000,4.0469,0.731185,10.6059,0.732429,0.795926
2.18,858,3.2711,1.43418,2.04215,-2.21387,999.977,-275.571,0.77554,9.98774,0.691294,0.177739
2.19,858,3.29157,1.41213,2.05104,-2.18693,999.951,-571.3,0.84036,9.4037,0.666787,-0.406305
2.2,858,3.31212,1.39034,2.05944,-2.16205,999.925,-883.259,0.935761,8.74624,0.669066,-1.06376
2.21,858,3.33275,1.36878,2.06707,-2.1392,999.895,-1234.98,1.02249,8.04101,0.651894,-1.76899
2.22,858,3.35346,1.34743,2.07413,-2.11811,999.864,-1596.17,1.07833,7.36633,0.602288,-2.44367
2.23,858,3.37423,1.32628,2.08094,-2.09777,999.837,-1916.93,1.15719,6.72433,0.588987,-3.08567
2.24,858,3.39507,1.30533,2.08723,-2.07733,999.811,-2220.09,1.17507,6.15488,0.521032,-3.65512
2.25,858,3.41598,1.28457,2.09344,-2.05651,999.787,-2500.97,1.2382,5.59277,0.505909,-4.21723
2.26,858,3.43694,1.26401,2.10008,-2.03492,999.767,-2744.85,1.26384,5.08456,0.465023,-4.72544
2.27,858,3.45798,1.24366,2.10792,-2.01177,999.75,-2935.89,1.27175,4.66086,0.422523,-5.14914
2.28,858,3.4791,1.22355,2.11784,-1.98601,999.739,-3073.67,1.21316,4.34243,0.329463,-5.46757
2.29,858,3.50032,1.2037,2.13036,-1.95657,999.736,-3104.15,1.1147,4.15433,0.227652,-5.65567
2.3,858,3.52168,1.18417,2.14537,-1.92163,999.752,-2921.77,0.983739,4.24675,0.153879,-5.56325
2.31,858,3.5432,1.165,2.16363,-1.88084,999.773,-2671.65,0.923955,4.41104,0.169763,-5.39896
2.32,858,3.56491,1.14627,2.18529,-1.83544,999.797,-2391.23,0.814973,4.61579,0.144069,-5.19421
2.33,858,3.58685,1.128,2.20954,-1.78558,999.832,-1980,0.627709,5.01013,0.0755983,-4.79987
