dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
412,0.00881381,5.09823,0.00331702,-0.00816582,fluid
413,0.00881381,5.18768,0.00403316,-0.00783689,fluid
414,0.00881381,5.27712,0.00471705,-0.00744531,fluid
415,0.00881381,5.36656,0.00536324,-0.0069942,fluid
416,0.00881381,5.45601,0.00596655,-0.00648718,fluid
417,0.00881381,5.54545,0.00652215,-0.0059283,fluid
418,0.00881381,5.63489,0.00702562,-0.00532202,fluid
419,0.00881381,5.72433,0.00747292,-0.00467319,fluid
420,0.00881381,5.81378,0.00786047,-0.003987,fluid
421,0.00881381,5.90322,0.00818518,-0.00326894,fluid
422,0.00881381,5.99266,0.00844446,-0.00252475,fluid
423,0.00881381,6.0821,0.00863622,-0.00176037,fluid
424,0.00881381,6.17155,0.00875894,-0.000981911,fluid
425,0.00881381,6.26099,0.00881164,-0.000195606,fluid
426,0.0102896,0,0.0102896,0,fluid
427,0.0102896,0.0894427,0.0102485,0.000919107,fluid
428,0.0102896,0.178885,0.0101255,0.00183087,fluid
429,0.0102896,0.268328,0.00992144,0.00272799,fluid
430,0.0102896,0.357771,0.0096381,0.0036033,fluid
431,0.0102896,0.447214,0.00927772,0.00444981,fluid
432,0.0102896,0.536656,0.00884316,0.00526074,fluid
433,0.0102896,0.626099,0.0083379,0.00602961,fluid
434,0.0102896,0.715542,0.00776599,0.00675028,fluid
435,0.0102896,0.804984,0.00713198,0.00741698,fluid
436,0.0102896,0.894427,0.00644096,0.00802439,fluid
437,0.0102896,0.98387,0.00569845,0.00856764,fluid
438,0.0102896,1.07331,0.00491038,0.0090424,fluid
439,0.0102896,1.16276,0.00408305,0.00944487,fluid
440,0.0102896,1.2522,0.00322308,0.00977182,fluid
441,0.0102896,1.34164,0.00233735,0.0100207,fluid
442,0.0102896,1.43108,0.00143292,0.0101894,fluid
443,0.0102896,1.52053,0.000517044,0.0102766,fluid
444,0.0102896,1.60997,-0.000402969,0.0102818,fluid
445,0.0102896,1.69941,-0.00131976,0.0102047,fluid
446,0.0102896,1.78885,-0.002226,0.010046,fluid
447,0.0102896,1.8783,-0.00311445,0.00980699,fluid
